PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=668 ms
